"Question","Topics","Subject"
"In the stock market, a period of gradual gains are known as a bull  market, and periods of gradual declines are known as a  bear  market","Economics","Social Studies"
"A portion of the ownership of a company is called a share   ","Economics","Social Studies"
"Profits from stocks would be taxable under capital gain tax","Economics","Social Studies"
"North Korea's 4 wireless companies are own by the North Korean government This is an example of monooly economy","Economics","Social Studies"
"In a capitalistic economy, decisions are made in the upper levels of government","Economics","Social Studies"
" A trade-off is the alternatives we give up when we choose one action over another","Economics","Social Studies"
"The government has the greatest degree of involvement in Traditional economy","Economics","Social Studies"
"The United States has mixed type of economy","Economics","Social Studies"
"When quantity supplied is more than quantity demanded surplus","Economics","Social Studies"
"The basic economic questions are answered based on ritual, habit or custom traditional economy","Economics","Social Studies"
"Labor is  something someone does for money","Economics","Social Studies"
"taxes on imports and/or exports is tariff","Economics","Social Studies"
"luxury tax type of tax is imposed on products like gasoline, alcohol, and cigarettes","Economics","Social Studies"
"Market in which a single seller dominates monopoly","Economics","Social Studies"
"When a surplus occurs, suppliers tend to lower price","Economics","Social Studies"
"A combination of market and command economy is mixed economy","Economics","Social Studies"
"When supply and demand are equal, economists call this condition market equilibrium","Economics","Social Studies"
"The amount of money it takes to make a good or provide a service is called an expence","Economics","Social Studies"
"scarcity is The amount of money it takes to make a good or provide a service is called an ","Economics","Social Studies"
" In free enterprise, the characteristic of voluntary exchange allows Workers to accept or reject jobs","Economics","Social Studies"
"The money remaining after the costs of a business have been paid is called profit","Economics","Social Studies"
"needs are things that we like","Economics","Social Studies"
"An industry is a business that makes or trades goods","Economics","Social Studies"
"Consumer is someone who buys and uses goods","Economics","Social Studies"
"Opportunity cost is the value of what you give up because you choose to do or buy something else","Economics","Social Studies"
"Goods services are sold illegally, without regard for government controls on price/quantity black market","Economics","Social Studies"
"Minimum price for a good or service price floor","Economics","Social Studies"
"Which is an example of bartering","Economics","Social Studies"
"When quantity demanded is more than quantity supplied shortage","Economics","Social Studies"
"A nations or individuals level of economic prosperity standard living","Economics","Social Studies"
"A tax on imports import tax","Economics","Social Studies"
"Things that are made or grown are goods","Economics","Social Studies"
